"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","establishmentTypes/0","establishmentTypes/1","numberOfReviews","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","website","longitude","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","rating","rankingPosition","id","name","webUrl","description","latitude","rawRanking"
"Seafood","International",,,,,"Restaurants",,"52","Outdoor Seating","Seating","Serves Alcohol","Takeout","Reservations","Parking Available","Full Bar","Wine and Beer","Free Wifi","Table Service",,,,,,,,"http://www.fishermans-restaurant.com","39.562218","Fish",,,,,,"4.5","1","7045113","Mvureni Fishermen Restaurant","https://www.tripadvisor.com/Restaurant_Review-g1183084-d7045113-Reviews-Mvureni_Fishermen_Restaurant-Galu_Beach_Coast_Province.html","MVURENI Fishermen Restaurant is a local community income generating project. The restaurant specializes in seafood. The fishermen sell their catch directly here. You find us direct on the Galu Beach just before Neptune hotels.  We offer Fresh seafood, cold drinks,Sun beds and WiFi free for customer. The atmosphere is one of he best in Diani Beach. The chefs, are some of the best with many years Experience in grill. We are looking forward to serving you a delicious mean right at the sandy beach.","-4.358751","3.361778974533081"
"Italian","Pizza",,,,,"Restaurants",,"20","Table Service",,,,,,,,,,,,,,,,,"https://www.facebook.com/Estuary-Beach-Lounge-104879154662902/","39.59778",,,,,,,"5","24","23191232","Estuary Beach Lounge","https://www.tripadvisor.com/Restaurant_Review-g775870-d23191232-Reviews-Estuary_Beach_Lounge-Diani_Beach_Ukunda_Coast_Province.html","Our Kitesurfing school and restaurant is a beautiful and familiar environment where you can find a special connection with the yourself and the others thanks to the amazing Baobabs and the unique Sundown in Diani Beach.","-4.258466","3.4046459197998047"
"Italian","African","Seafood","Contemporary","Healthy",,"Restaurants",,"16","Takeout","Reservations","Outdoor Seating","Parking Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards",,,,,,"http://www.staylala.com","39.580235",,,,,,,"5","22","26258116","Sunnyside Up","https://www.tripadvisor.com/Restaurant_Review-g775870-d26258116-Reviews-Sunnyside_Up-Diani_Beach_Ukunda_Coast_Province.html","Wholesome, fresh, continental comfort food, served in a beautiful beach front setting","-4.301892","3.4982450008392334"
"Italian","Pizza","European","Vegetarian Friendly",,,"Restaurants",,"229","Takeout","Reservations","Seating","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Table Service",,,,,,,,,,,"39.586452","Pasta","Crab","Salad","Focaccia","Pesto","Fish","4","20","1101182","Aniellos","https://www.tripadvisor.com/Restaurant_Review-g775870-d1101182-Reviews-Aniellos-Diani_Beach_Ukunda_Coast_Province.html",,"-4.288889","3.5235652923583984"
"International","Cafe","European","British","Vegetarian Friendly","Vegan Options","Restaurants",,"29","Seating","Wheelchair Accessible","Table Service","Takeout","Outdoor Seating","Parking Available","Serves Alcohol","Wine and Beer","Digital Payments","Cash Only","Free Wifi","Dog Friendly","Family style",,,,,"http://www.facebook.com/DDs-Grill-Bistro-112538487216790/","39.577072",,,,,,,"4.5","27","10841438","Diana's Diani Bistro & Grill","https://www.tripadvisor.com/Restaurant_Review-g775870-d10841438-Reviews-Diana_s_Diani_Bistro_Grill-Diani_Beach_Ukunda_Coast_Province.html","DD's is a small, rustic & friendly owner-run establishment, situated in the heart of Diani. We offer good value, home cooked fresh dishes, such as pies, steaks, seafood, and wonderful vegetarian options; using locally sourced products.","-4.308756","3.330289363861084"
"Pizza","Cafe","Bar","Grill","Vegetarian Friendly",,"Bars & Pubs","Restaurants","236","Reservations","Parking Available","Full Bar","Takeout","Outdoor Seating","Seating","Street Parking","Free off-street parking","Television","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Accepts Mastercard","Accepts Visa","Digital Payments","Accepts Credit Cards","Free Wifi","http://www.facebook.com/HavanaBarDiani","39.577377","Burger","Tacos","Prawns","Fish",,,"4","21","7621701","Havana Bar","https://www.tripadvisor.com/Restaurant_Review-g775870-d7621701-Reviews-Havana_Bar-Diani_Beach_Ukunda_Coast_Province.html","Chilled bar and restaurant with food from early til late. Great pizzas, seafood, snacks. Cocktails, cold beers all day long.","-4.308072","3.5232677459716797"
"Seafood","Mediterranean","European",,,,"Restaurants",,"30","Takeout","Outdoor Seating","Parking Available","Free off-street parking","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Live Music",,,,,,,,"39.578426","Burger",,,,,,"4.5","25","24154734","Funky Monkey","https://www.tripadvisor.com/Restaurant_Review-g775870-d24154734-Reviews-Funky_Monkey-Diani_Beach_Ukunda_Coast_Province.html","Cocktail bar & restaurant","-4.306509","3.3926661014556885"
"Seafood","Bar","European","Healthy",,,"Restaurants",,"192","Accepts American Express","Accepts Mastercard","Accepts Visa","Free off-street parking","Highchairs Available","Waterfront",,,,,,,,,,,,"http://www.bluemarlinbeachhotel.com","39.563904","Crab","Lobster","Salad","Prawns","Fish",,"4","23","1575516","Blue Marlin Beach Restaurant","https://www.tripadvisor.com/Restaurant_Review-g775870-d1575516-Reviews-Blue_Marlin_Beach_Restaurant-Diani_Beach_Ukunda_Coast_Province.html","Beach Restaurant and Bar. Blue Marlin Beach Restaurant is known for its freshest seafood and breathtaking views of the Indian Ocean","-4.350536","3.4307563304901123"
"Italian",,,,,,"Restaurants",,"31","Reservations","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Accepts Discover","Accepts Credit Cards","Table Service","Live Music",,,,"https://www.casamiadiani.com/","39.575367",,,,,,,"4.5","19","25228468","Casamia","https://www.tripadvisor.com/Restaurant_Review-g775870-d25228468-Reviews-Casamia-Diani_Beach_Ukunda_Coast_Province.html","Italian Restaurant Lounge Bar. The home of Italian happy hour. Located along Diani Beach Road, our restaurant offers fine dining and exclusive lounging.","-4.311517","3.542236328125"
"African","Seafood",,,,,"Restaurants",,"51","Outdoor Seating","Seating","Serves Alcohol",,,,,,,,,,,,,,,"https://www.facebook.com/Mwaepe-Fisherman-Beach-Restaurant-372733566628988/?ref=search&__tn__=%2Cd%2CP-R&eid=ARDZVapORX-H8IYmbqHvaXRmQ9jt3BcisJgRwy4Lzp_0-LFb5zDuIcyXIcdWxC93kNd1bo8oKrXKkZm9","39.56643","Lobster","Fish",,,,,"4","26","12624358","Mwaepe Fishermen Beach Restaurant","https://www.tripadvisor.com/Restaurant_Review-g775870-d12624358-Reviews-Mwaepe_Fishermen_Beach_Restaurant-Diani_Beach_Ukunda_Coast_Province.html",,"-4.343117","3.348867177963257"
